#,Date,LTP,% Change,High,Low,Open,Qty.,Turnover

65,2023/08/06,612.00,-0.16,637.70,607.00,625.20,"113,739","69,820,466.50"
66,2023/08/03,613.00,0,621.00,612.00,618.00,"44,414","27,412,266.20"
67,2023/08/02,613.00,0.31,620.00,609.00,619.90,"36,975","22,620,315.90"
68,2023/08/01,611.10,-0.63,621.00,611.00,620.00,"41,626","25,620,471.80"
69,2023/07/31,615.00,-0.16,623.00,605.00,605.00,"55,627","34,311,195.50"
70,2023/07/30,616.00,-0.32,623.90,614.00,623.00,"79,973","49,335,465.00"
71,2023/07/27,618.00,-0.88,628.00,616.00,625.00,"80,901","50,326,274.70"
72,2023/07/26,623.50,-0.02,629.50,618.00,629.00,"56,916","35,568,721.80"
73,2023/07/25,623.60,-2.41,640.00,621.00,640.00,"103,484","65,026,439.50"
74,2023/07/24,639.00,-1.54,653.00,636.00,650.00,"172,938","111,689,687.70"
75,2023/07/23,649.00,4.01,649.60,625.20,630.00,"147,953","94,121,522.80"
76,2023/07/20,624.00,1.17,628.90,620.00,620.00,"124,603","77,783,223.10"
77,2023/07/19,616.80,0.62,619.00,612.00,619.00,"76,090","46,874,578.90"
78,2023/07/18,613.00,0.33,621.60,610.00,620.90,"76,424","47,031,903.00"
79,2023/07/17,611.00,1.97,612.00,598.00,607.00,"73,868","44,868,342.90"
80,2023/07/16,599.20,1.56,605.90,590.00,595.00,"73,028","43,608,617.00"
81,2023/07/13,590.00,0.68,597.90,574.30,574.30,"66,352","39,318,126.20"
82,2023/07/12,586.00,0.51,589.90,585.00,585.00,"51,194","30,016,680.90"
83,2023/07/11,583.00,0,587.00,580.00,584.00,"88,236","51,402,666.70"
84,2023/07/10,583.00,0,593.00,581.00,593.00,"88,478","51,633,437.30"
85,2023/07/09,583.00,0.15,593.60,582.00,590.00,"79,385","46,393,314.10"
86,2023/07/06,582.10,-0.09,594.00,580.00,584.00,"61,889","36,123,009.40"
87,2023/07/05,582.60,-0.58,597.10,574.30,574.30,"70,629","41,335,410.70"
88,2023/07/04,586.00,0.19,590.00,584.00,585.10,"69,678","40,896,154.20"
89,2023/07/03,584.90,-1.53,594.00,584.00,594.00,"111,999","65,697,698.15"
90,2023/07/02,594.00,-1.98,615.00,591.00,615.00,"111,991","66,854,976.65"
91,2023/06/28,606.00,-0.48,633.00,605.00,620.00,"151,880","92,844,811.90"
92,2023/06/27,608.90,3.91,609.90,587.00,593.00,"184,325","110,660,786.10"
93,2023/06/26,586.00,-0.17,593.00,585.20,593.00,"125,517","73,753,126.20"
94,2023/06/25,587.00,-0.25,594.00,581.50,594.00,"123,731","72,516,379.78"
95,2023/06/22,588.50,-0.27,597.00,585.40,595.00,"57,079","33,592,097.20"
96,2023/06/21,590.10,-0.87,600.00,589.10,600.00,"74,080","43,876,597.30"
97,2023/06/20,595.30,0.22,603.00,595.00,599.00,"77,314","46,284,743.80"
98,2023/06/19,594.00,-0.34,605.20,593.10,598.00,"69,002","41,098,211.50"
