#,Date,LTP,% Change,High,Low,Open,Qty.,Turnover

32,2023/10/01,550.00,-2.14,572.90,540.10,550.80,887,"484,496.50"
33,2023/09/27,562.00,-0.53,583.00,554.00,554.00,"1,422","809,020.00"
34,2023/09/26,565.00,2.36,566.00,552.00,563.00,"1,438","806,901.60"
35,2023/09/25,552.00,-2.3,564.70,543.00,554.00,828,"455,443.10"
36,2023/09/24,565.00,1.07,567.00,551.00,559.00,"1,159","648,950.00"
37,2023/09/21,559.00,3.52,562.00,532.00,532.00,"1,121","623,719.70"
38,2023/09/19,540.00,0,540.00,534.50,535.00,523,"280,799.80"
39,2023/09/18,540.00,1.1,544.60,532.00,532.10,708,"379,016.40"
40,2023/09/17,534.10,-2.54,549.90,530.00,548.00,686,"374,329.40"
41,2023/09/13,548.00,3.01,548.00,535.00,540.00,661,"357,381.90"
42,2023/09/12,532.00,-0.75,540.00,528.10,536.00,419,"223,047.00"
43,2023/09/10,532.00,-0.56,535.00,529.00,530.00,343,"181,963.00"
44,2023/09/07,535.00,0.36,552.00,535.00,543.70,"1,601","860,455.60"
45,2023/09/05,533.10,-1.28,540.00,532.10,540.00,447,"239,043.70"
46,2023/09/04,540.00,-0.04,551.00,536.10,551.00,668,"360,864.50"
47,2023/09/03,540.20,-2.67,552.00,534.00,544.00,615,"335,337.40"
48,2023/08/30,555.00,1.46,557.00,544.10,557.00,"1,362","743,669.20"
49,2023/08/29,547.00,-1.44,559.00,546.00,546.00,431,"237,156.20"
50,2023/08/28,555.00,0.54,555.00,542.00,542.00,309,"169,729.00"
51,2023/08/24,563.00,-2.09,572.00,560.00,567.00,"1,128","636,341.80"
52,2023/08/23,575.00,0.7,582.00,572.00,582.00,456,"262,698.90"
53,2023/08/22,571.00,0.18,581.40,560.00,581.40,868,"495,093.40"
54,2023/08/21,570.00,-0.7,585.40,568.40,585.40,499,"285,280.50"
55,2023/08/20,574.00,0,584.00,562.60,584.00,673,"384,382.80"
56,2023/08/17,574.00,0.88,580.00,569.00,580.00,397,"227,836.60"
57,2023/08/16,569.00,-2.74,585.00,569.00,580.00,"1,632","934,124.00"
58,2023/08/15,585.00,-2.21,595.00,580.00,589.00,"1,056","619,034.90"
59,2023/08/14,598.20,-2.57,610.00,598.10,610.00,"3,049","1,831,597.40"
60,2023/08/13,614.00,1.14,615.00,601.00,607.00,607,"368,766.90"
61,2023/08/10,607.10,-0.64,623.00,601.00,623.00,509,"311,730.00"
62,2023/08/09,611.00,1.7,611.00,588.80,600.80,982,"589,732.80"
63,2023/08/08,600.80,-3.39,613.00,600.80,610.00,902,"548,241.70"
64,2023/08/07,621.90,0.31,625.00,610.00,620.00,480,"296,485.00"
65,2023/08/06,620.00,-2.21,646.60,604.20,646.00,707,"443,319.40"
66,2023/08/03,634.00,1.6,644.00,620.00,636.00,476,"298,973.00"
67,2023/08/02,624.00,0.81,631.00,596.10,631.00,485,"297,580.30"
68,2023/08/01,619.00,-0.88,636.90,607.60,636.90,"1,495","923,171.80"
69,2023/07/31,624.50,-1.96,641.00,624.30,624.30,747,"473,033.90"
70,2023/07/30,637.00,-1.09,653.00,620.40,644.00,"2,122","1,342,687.50"
71,2023/07/27,644.00,-2.72,660.00,640.10,650.00,"1,679","1,085,794.00"
72,2023/07/26,662.00,-0.75,680.00,655.00,666.00,"1,930","1,290,587.10"
73,2023/07/25,667.00,-0.88,686.00,656.00,686.00,782,"517,213.20"
74,2023/07/24,672.90,-0.31,693.00,665.00,679.90,"3,773","2,553,689.80"
75,2023/07/23,675.00,0.75,683.40,658.00,683.40,"1,570","1,050,966.80"
76,2023/07/20,670.00,0.43,679.90,653.80,679.90,"1,425","944,793.90"
77,2023/07/19,667.10,-1.02,687.00,667.10,687.00,726,"489,831.20"
78,2023/07/18,674.00,0.01,695.00,661.00,661.00,"1,967","1,340,252.60"
79,2023/07/17,673.90,4.16,676.00,647.00,647.00,"2,473","1,642,561.90"
80,2023/07/16,647.00,-0.46,656.00,638.50,641.00,588,"377,783.90"
81,2023/07/13,650.00,-0.69,680.00,650.00,667.30,"3,376","2,242,107.90"
82,2023/07/12,654.50,2.68,655.00,630.10,640.00,"2,397","1,548,106.80"
83,2023/07/11,637.40,0.06,640.00,617.50,640.00,"1,982","1,240,394.20"
84,2023/07/10,637.00,1.92,645.00,630.00,630.00,"1,721","1,098,013.80"
85,2023/07/09,625.00,1.13,642.50,617.40,630.30,"2,119","1,322,576.10"
86,2023/07/06,618.00,-1.45,634.00,615.00,630.00,"1,363","845,031.10"
87,2023/07/05,627.10,-1.4,658.00,627.10,636.00,"2,362","1,514,440.00"
88,2023/07/04,636.00,-0.62,650.00,636.00,640.00,"1,843","1,181,951.40"
89,2023/07/03,640.00,-1.99,660.00,640.00,640.00,"1,645","1,060,927.50"
90,2023/07/02,653.00,-5.5,699.00,648.00,699.00,"5,194","3,405,552.00"
91,2023/06/28,691.00,-1.61,716.30,675.00,716.30,"5,031","3,447,630.70"
92,2023/06/27,702.30,9.99,702.30,640.00,651.10,"12,853","8,923,954.90"
93,2023/06/26,638.50,3.82,638.50,618.00,627.00,"4,860","3,071,710.20"
94,2023/06/25,615.00,3.54,615.00,594.00,594.00,"2,930","1,777,949.20"
95,2023/06/22,594.00,0.66,607.00,590.00,590.00,"1,040","623,572.50"
96,2023/06/21,590.10,-3.66,607.00,590.00,601.00,"4,349","2,591,097.20"
97,2023/06/20,612.50,-2.78,630.00,612.50,628.00,"2,923","1,817,605.50"
98,2023/06/19,630.00,0.96,640.00,616.10,616.10,"2,640","1,662,393.90"
